# List generated with
# for i in `seq 50000 100000`; do listURL="https://www.netflix.com/browse/genre/$i"; genre=$(wget --no-check-certificate -q -O - "$listURL" |head | tr '{' '\n'| grep '"@type":"ItemList","name":' | tr ':' '\n'  | tr ',' '\n' | awk '/name/{getline; print}'); if [ "$genre" != "" ]; then  echo $i $listURL $genre; fi; done  >> codes_one_by_one.txt &
26 https://www.netflix.com/browse/genre/26 "Mockumentaries"
83 https://www.netflix.com/browse/genre/83 "TV Shows"
180 https://www.netflix.com/browse/genre/180 "Watch Sports Documentaries"
448 https://www.netflix.com/browse/genre/448 "Suspenseful Movies"
452 https://www.netflix.com/browse/genre/452 "Drama Anime"
500 https://www.netflix.com/browse/genre/500 "LGBTQ Dramas"
783 https://www.netflix.com/browse/genre/783 "Children & Family Movies"
798 https://www.netflix.com/browse/genre/798 "Brazilian Movies"
869 https://www.netflix.com/browse/genre/869 "Dark Comedies"
920 https://www.netflix.com/browse/genre/920 "Movies Based on a True Story"
947 https://www.netflix.com/browse/genre/947 "Monster Movies"
972 https://www.netflix.com/browse/genre/972 "Watch Steamy Thrillers"
1255 https://www.netflix.com/browse/genre/1255 "Romantic Drama Movies"
1365 https://www.netflix.com/browse/genre/1365 "Action & Adventure Movies"
1372 https://www.netflix.com/browse/genre/1372 "TV Sci-Fi & Fantasy"
1411 https://www.netflix.com/browse/genre/1411 "Psychological Movies"
1459 https://www.netflix.com/browse/genre/1459 "Movies starring Mark Wahlberg"
1492 https://www.netflix.com/browse/genre/1492 "Best Sci-Fi Movies"
1568 https://www.netflix.com/browse/genre/1568 "Action Sci-Fi & Fantasy"
1667 https://www.netflix.com/browse/genre/1667 "Movies starring Tom Cruise"
1701 https://www.netflix.com/browse/genre/1701 "Music"
1813 https://www.netflix.com/browse/genre/1813 "Cerebral Movies"
1890 https://www.netflix.com/browse/genre/1890 "Movies starring Jennifer Lopez"
2023 https://www.netflix.com/browse/genre/2023 "Steamy Mystery Movies"
2340 https://www.netflix.com/browse/genre/2340 "Teen Movies"
2351 https://www.netflix.com/browse/genre/2351 "Goofy Movies"
2471 https://www.netflix.com/browse/genre/2471 "Movies starring Julia Roberts"
2477 https://www.netflix.com/browse/genre/2477 "Spy Movies"
2595 https://www.netflix.com/browse/genre/2595 "Science & Nature Docs"
2653 https://www.netflix.com/browse/genre/2653 "Action Anime Shows and Movies"
2729 https://www.netflix.com/browse/genre/2729 "Sci-Fi Anime"
2943 https://www.netflix.com/browse/genre/2943 "Witty Movies"
2979 https://www.netflix.com/browse/genre/2979 "Imaginative Movies"
3063 https://www.netflix.com/browse/genre/3063 "Anime Movies"
3223 https://www.netflix.com/browse/genre/3223 "Gritty Movies"
3327 https://www.netflix.com/browse/genre/3327 "Alien Movies"
3329 https://www.netflix.com/browse/genre/3329 "Romantic LGBTQ+ Movies"
3373 https://www.netflix.com/browse/genre/3373 "Watch War Movies"
3519 https://www.netflix.com/browse/genre/3519 "Teen Comedies"
3652 https://www.netflix.com/browse/genre/3652 "Biographical Documentaries"
3675 https://www.netflix.com/browse/genre/3675 "Social & Cultural Documentaries"
3891 https://www.netflix.com/browse/genre/3891 "Movies starring Brad Pitt"
3903 https://www.netflix.com/browse/genre/3903 "TV Sitcoms"
3947 https://www.netflix.com/browse/genre/3947 "Social Issue Dramas"
3979 https://www.netflix.com/browse/genre/3979 "Critically Acclaimed Films"
4136 https://www.netflix.com/browse/genre/4136 "Watch Emotional Movies"
4366 https://www.netflix.com/browse/genre/4366 "TV Mysteries"
4370 https://www.netflix.com/browse/genre/4370 "Sports Movies"
4444 https://www.netflix.com/browse/genre/4444 "Quirky Movies"
4698 https://www.netflix.com/browse/genre/4698 "Animated Movies and TV Shows"
4720 https://www.netflix.com/browse/genre/4720 "LGBTQ+ Documentaries"
5066 https://www.netflix.com/browse/genre/5066 "Understated Movies"
5343 https://www.netflix.com/browse/genre/5343 "Exciting Movies"
5349 https://www.netflix.com/browse/genre/5349 "Historical Documentaries"
5475 https://www.netflix.com/browse/genre/5475 "Romantic Comedies"
5480 https://www.netflix.com/browse/genre/5480 "Bollywood Movies"
5505 https://www.netflix.com/browse/genre/5505 "Psychological Thrillers"
5507 https://www.netflix.com/browse/genre/5507 "Animal Tales"
5538 https://www.netflix.com/browse/genre/5538 "Movies starring Denzel Washington"
5685 https://www.netflix.com/browse/genre/5685 "Korean Movies"
5763 https://www.netflix.com/browse/genre/5763 "Dramas"
5824 https://www.netflix.com/browse/genre/5824 "Watch Crime Movies"
5977 https://www.netflix.com/browse/genre/5977 "Watch LGBTQ Movies"
6057 https://www.netflix.com/browse/genre/6057 "Scary Movies"
6312 https://www.netflix.com/browse/genre/6312 "Movies starring Adam Sandler"
6548 https://www.netflix.com/browse/genre/6548 "Comedy Movies"
6714 https://www.netflix.com/browse/genre/6714 "Movies starring Nicole Kidman"
6721 https://www.netflix.com/browse/genre/6721 "Anime Series"
6839 https://www.netflix.com/browse/genre/6839 "Best Documentaries"
7077 https://www.netflix.com/browse/genre/7077 "Independent Movies"
7120 https://www.netflix.com/browse/genre/7120 "LGBTQ+ Comedy Movies"
7242 https://www.netflix.com/browse/genre/7242 "Movies starring Shahrukh Khan"
7424 https://www.netflix.com/browse/genre/7424 "Anime"
7442 https://www.netflix.com/browse/genre/7442 "Adventure Movies"
7539 https://www.netflix.com/browse/genre/7539 "TV Dramedies"
7627 https://www.netflix.com/browse/genre/7627 "Cult Movies"
7687 https://www.netflix.com/browse/genre/7687 "Film Noir"
7700 https://www.netflix.com/browse/genre/7700 "Western Movies"
8195 https://www.netflix.com/browse/genre/8195 "Horror B-Movies"
8673 https://www.netflix.com/browse/genre/8673 "Critically Acclaimed Documentaries"
8711 https://www.netflix.com/browse/genre/8711 "Essential Horror Flicks"
8883 https://www.netflix.com/browse/genre/8883 "Best Romantic Movies"
8892 https://www.netflix.com/browse/genre/8892 "Movies starring Tom Hanks"
8933 https://www.netflix.com/browse/genre/8933 "Thrillers"
8985 https://www.netflix.com/browse/genre/8985 "Martial Arts Movies"
9302 https://www.netflix.com/browse/genre/9302 "Watch Comedy Anime"
9584 https://www.netflix.com/browse/genre/9584 "Crime Action & Adventure Movies"
9631 https://www.netflix.com/browse/genre/9631 "Movies starring Robert De Niro"
9744 https://www.netflix.com/browse/genre/9744 "Fantasy Movies"
9833 https://www.netflix.com/browse/genre/9833 "Reality TV Shows"
9875 https://www.netflix.com/browse/genre/9875 "Crime Documentaries"
9889 https://www.netflix.com/browse/genre/9889 "Movies Based on Books"
10105 https://www.netflix.com/browse/genre/10105 "Documentary Series"
10118 https://www.netflix.com/browse/genre/10118 "Superhero Movies"
9994 https://www.netflix.com/browse/genre/9994 "Mysteries"
10375 https://www.netflix.com/browse/genre/10375 "Best TV Comedy Shows"
10579 https://www.netflix.com/browse/genre/10579 "Feel-good Movies"
10619 https://www.netflix.com/browse/genre/10619 "Inspiring Movies"
10659 https://www.netflix.com/browse/genre/10659 "Education for Kids"
10673 https://www.netflix.com/browse/genre/10673 "Best Action & Adventure Shows"
10695 https://www.netflix.com/browse/genre/10695 "Horror Anime"
10702 https://www.netflix.com/browse/genre/10702 "Spy Action & Adventure Movies"
10714 https://www.netflix.com/browse/genre/10714 "Courtroom Movies"
10944 https://www.netflix.com/browse/genre/10944 "Watch Cult Horror Movies"
11146 https://www.netflix.com/browse/genre/11146 "Fantasy Anime"
